_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
23323,13441919,Midland Ave,Copthorne Ave,187,NA,NA,NA,NA,187,"c(-79.2949340100423, 43.8207070058596)",NA,NA,NA,2021-08-16T04:00:00,PASSMORE AVE,COPTHORNE AVE,MIDLAND AVE,COPTHORNE AVE,187,NA,1565,NA,42,Scarborough-Agincourt(22),NA,Scarborough North(23),NA,Midland Ave And Copthorne Ave / Passmore Ave,Scarborough,6216,MIDLAND AVE
23324,13442528,Steeles Ave E,Don Mills Rd,188,NA,NA,NA,NA,188,"c(-79.3607760036512, 43.8111839970382)",NA,NA,NA,2021-09-13T04:00:00,NA,DON MILLS RD,STEELES AVE E,DON MILLS RD,188,NA,1038,NA,33,Don Valley North(17),NA,NA,NA,Steeles Ave E And Don Mills Rd,North York,6219,STEELES AVE E
23325,13442643,Finch Ave E,McCowan Rd,189,NA,NA,NA,NA,189,"c(-79.2665059922644, 43.8080259992832)",NA,NA,NA,2021-11-09T05:00:00,NA,MCCOWAN RD,FINCH AVE E,MCCOWAN RD,189,NA,1176,NA,42,Scarborough North(23),NA,NA,NA,Finch Ave E And Mccowan Rd,Scarborough,6222,FINCH AVE E
23326,13445620,Steeles Ave W,Alness St,190,NA,NA,NA,NA,190,"c(-79.481056997688, 43.7847000015855)",NA,NA,NA,2021-07-29T04:00:00,NA,ALNESS ST,STEELES AVE W,ALNESS ST,190,NA,1231,NA,32,York Centre(6),NA,NA,NA,Steeles Ave W And Alness St,North York,6224,STEELES AVE W
23327,13443499,Markham Rd,McLevin Ave,191,NA,NA,NA,NA,191,"c(-79.2410409983707, 43.798555006947)",NA,NA,NA,2021-12-29T05:00:00,NUGGET AVE,MCLEVIN AVE,MARKHAM RD,MCLEVIN AVE,191,NA,1239,NA,42,Scarborough North(23),NA,NA,NA,Markham Rd And Mclevin Ave / Nugget Ave,Scarborough,6225,MARKHAM RD
23328,13467918,Burnhamthorpe Rd,The West Mall,192,NA,NA,NA,NA,192,"c(-79.5672500121821, 43.6445520063353)",NA,NA,NA,2021-08-27T04:00:00,NA,THE WEST MALL,BURNHAMTHORPE RD,THE WEST MALL,192,NA,875,NA,22,Etobicoke Centre(2),NA,NA,NA,Burnhamthorpe Rd And The West Mall,Etobicoke York,6227,BURNHAMTHORPE RD
23329,13464218,Jane St,St Clair Ave W,193,NA,NA,NA,NA,193,"c(-79.4917669900948, 43.6671840047067)",NA,11,NA,2021-08-16T04:00:00,NA,ST CLAIR AVE W,JANE ST,ST CLAIR AVE W,193,NA,495,NA,12,York South-Weston(5),NA,NA,NA,Jane St And St Clair Ave W,Etobicoke York,6230,JANE ST
23330,13443302,Kennedy Rd,Finch Ave E,194,NA,NA,NA,NA,194,"c(-79.2965979921245, 43.8012680068432)",NA,NA,NA,2021-11-09T05:00:00,NA,FINCH AVE E,KENNEDY RD,FINCH AVE E,194,NA,1021,NA,42,Scarborough-Agincourt(22),NA,NA,NA,Kennedy Rd And Finch Ave E,Scarborough,6234,KENNEDY RD
23331,13448022,Willowdale Ave,Spring Garden Ave,195,NA,NA,NA,NA,195,"c(-79.4009059964784, 43.7663430021023)",NA,NA,NA,2021-08-27T04:00:00,NA,SPRING GARDEN AVE,WILLOWDALE AVE,SPRING GARDEN AVE,195,NA,2473,NA,32,Willowdale(18),NA,NA,NA,Willowdale Ave And Spring Garden Ave,North York,6237,WILLOWDALE AVE
23332,NA,NA,NA,196,NA,NA,NA,NA,196,"c(-79.3044680026261, 43.7189060068888)",NA,NA,NA,2021-11-09T05:00:00,NA,SUNRISE AVE,O CONNOR DR,SUNRISE AVE,196,NA,520,NA,54,Don Valley East(16),NA,Beaches-East York(19),NA,O Connor Dr And Sunrise Ave,North York,6238,O CONNOR DR
23333,13448822,Markham Rd,Greencedar Crct,197,NA,NA,NA,NA,197,"c(-79.2247089902657, 43.7578400050447)",NA,NA,NA,2021-08-27T04:00:00,GREENCREST CRCT,GREENCEDAR CRCT,MARKHAM RD,GREENCEDAR CRCT,197,NA,704,NA,43,Scarborough-Guildwood(24),NA,NA,NA,Markham Rd And Greencedar Crct / Greencrest Crct,Scarborough,6243,MARKHAM RD
23334,13465689,Dundas St W,Royal York Rd,198,NA,NA,NA,NA,198,"c(-79.5135780034782, 43.6594600022959)",275M EAST OF,NA,NA,2021-10-21T04:00:00,PRIVATE ACCESS,ROYAL YORK RD,DUNDAS ST W,ROYAL YORK RD,198,KINGSWAY MILLS PLAZA,1852,NA,22,Etobicoke Centre(2),NA,Etobicoke-Lakeshore(3),NA,Dundas St W And Royal York Rd / Private Access @ 275m East Of - Kingsway Mills Plaza,Etobicoke York,6248,DUNDAS ST W
23335,13441833,McCowan Rd,Alton Towers Crcl,199,NA,NA,NA,NA,199,"c(-79.2751400030519, 43.8250800011958)",210M SOUTH OF,NA,NA,2021-11-09T05:00:00,NA,ALTON TOWERS CRCL,MCCOWAN RD,ALTON TOWERS CRCL,199,NA,1711,ALTON TOWERS CRCL (NORTH),42,Scarborough North(23),NA,NA,NA,Mccowan Rd And Alton Towers Crcl @ 210m South Of,Scarborough,6249,MCCOWAN RD
